Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Guinea,2010,6853467145.53089,4.81336016967553,659.235326211315,16.1026033748334,5.097,10396086.0
Guinea,2015,8794201742.84609,3.82591056949435,747.356966759448,2.9722848994975,5.224,11767070.0
Guinea,2020,14088693742.9464,4.70459096113575,1053.66097696415,4.24998016732003,6.018,13371183.0
Guinea-Bissau,2000,391345597.488269,1.10027815777423,316.945495037639,-22.9323193799366,3.557,1234741.0
Guinea-Bissau,2005,639776040.688424,6.55977111846077,463.073962650452,3.1144126331738,3.174,1381585.0
Guinea-Bissau,2010,940112538.936436,5.60536311358261,600.194298540768,5.21501552229329,3.137,1566347.0
Guinea-Bissau,2015,1152384166.79638,6.1340893623123,645.066837207039,14.5196628984565,3.157,1786457.0
Guinea-Bissau,2020,1683619351.72486,2.12811490126288,836.26731423732,1.9334399324789,2.89,2013255.0
Kenya,2000,12705350097.8044,0.599695390807426,414.626365130846,6.07984848923864,2.889,30642890.0
Kenya,2005,18737895512.7378,5.90666607980057,523.456312433863,4.89964972058961,2.745,35796484.0
Kenya,2010,45405615063.7551,8.05847360290906,1091.51873101194,1.63919964802533,2.796,41598567.0
Kenya,2015,70120446896.8359,4.96772112759767,1489.11959777284,9.23865468396285,2.762,47088526.0
Kenya,2020,100657505750.545,-0.272766327438816,1927.66459027849,4.94885283291357,5.619,52217334.0
Lesotho,2000,887291687.920796,3.87554677576694,442.779545779081,6.30021825194582,16.227,2003913.0
