Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Tanzania,TZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,1.314,..,2.781
Tanzania,TZA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,5.628,..,0.278
Tanzania,TZA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,..,4.549,..,..
Tanzania,TZA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.169,4.119,3.584,2.781,3.713
Tanzania,TZA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,..,5.968,..,0.427
Tanzania,TZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.127,3.194,3.029,2.159,2.781
Tanzania,TZA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,1.216,..,3.686
Tanzania,TZA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.086,2.26,2.473,1.56,1.908
Tanzania,TZA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,1.417,..,1.894
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,6193246837.09687,9239221763.05793,26673441430.7857,32387183730.1002,37600368239.8824
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,258.050338731086,330.405402707025,823.488144282,862.934610355811,845.76646385001
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.141907338187,6.33256511623156,5.63761163749757,5.18785986002466,2.95130642218098
Uganda,UGA,Rural population,SP.RUR.TOTL,20451488,23220715,26112493,29252009,33363314
Uganda,UGA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.66769823599525,2.39088365164495,2.31942589765894,2.36245710760292,2.54634153242122
Uganda,UGA,"Population, total",SP.POP.TOTL,24000150,27963289,32390802,37531446,44457152
Uganda,UGA,Urban population,SP.URB.TOTL,3548662,4742574,6278309,8279437,11093838
Uganda,UGA,Urban population growth (annual %),SP.URB.GROW,5.93538939516014,5.64223014004479,5.5838107672103,5.62599428833457,5.73847972363568
Uganda,UGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.786,16.96,19.383,22.06,24.954
Uganda,UGA,Rural population (% of total population),SP.RUR.TOTL.ZS,85.214,83.04,80.617,77.94,75.046
Uganda,UGA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.8653070918307,50.7744814996548,50.6754896243535,50.5737908419516,50.4704822297209
